
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
50:0F:F5:91:53:A9, 2023-07-13 22:40:44, 2023-07-13 22:40:47, 13, 270, WPA2 WPA, CCMP, PSK, -76,        5,        2,   0.  0.  0.  0,  12, Tenda_9153A8, 
BC:62:CE:87:DB:76, 2023-07-13 22:40:44, 2023-07-13 22:40:45,  1, 270, WPA2, CCMP TKIP, PSK, -65,       18,        0,   0.  0.  0.  0,  12, netis_87DB76, 
D4:35:38:A7:73:5A, 2023-07-13 22:40:44, 2023-07-13 22:40:44,  1, 130, WPA2, CCMP TKIP, PSK, -85,        1,        0,   0.  0.  0.  0,   6, YASBOY, 
D4:35:38:A0:B2:77, 2023-07-13 22:40:44, 2023-07-13 22:40:44,  1, 130, WPA2, CCMP TKIP, PSK, -45,        2,        0,   0.  0.  0.  0,   6, Xiaomi, 
10:FE:ED:B4:85:22, 2023-07-13 22:40:44, 2023-07-13 22:40:44, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D4:6E:0E:EF:8F:E0, 2023-07-13 22:40:45, 2023-07-13 22:40:45,  2, 270, WPA2, CCMP, PSK, -76,        2,        0,   0.  0.  0.  0,  13, Kyivstar_8FE0, 
1C:61:B4:D1:47:36, 2023-07-13 22:40:46, 2023-07-13 22:40:46, 10, 270, WPA2, CCMP, PSK, -71,        3,        0,   0.  0.  0.  0,  12, TP-Link_4736, 
C0:25:E9:CE:BF:4E, 2023-07-13 22:40:47, 2023-07-13 22:40:47, 11, 270, WPA2, CCMP, PSK, -83,        3,        0,   0.  0.  0.  0,  12, TP-LINK_BF4E, 
8C:DE:F9:D5:55:C7, 2023-07-13 22:40:47, 2023-07-13 22:40:47, 11,  -1, WPA, ,   , -89,        0,        1,   0.  0.  0.  0,   0, , 
DC:F0:90:A9:7B:3A, 2023-07-13 22:40:47, 2023-07-13 22:40:47,  6,  65, WPA2, CCMP, PSK, -71,        3,        0,   0.  0.  0.  0,   8, nubia M2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BE:E0:22:D8:47:68, 2023-07-13 22:40:44, 2023-07-13 22:40:44, -82,        3, D4:35:38:A7:73:5A,
C2:2A:F3:D5:36:D0, 2023-07-13 22:40:44, 2023-07-13 22:40:44, -54,       15, 50:0F:F5:91:53:A9,
9C:BE:1F:D6:5C:CD, 2023-07-13 22:40:44, 2023-07-13 22:40:47, -72,        9, 50:0F:F5:91:53:A9,
88:40:3B:50:B1:3D, 2023-07-13 22:40:45, 2023-07-13 22:40:45, -68,        1, D4:6E:0E:EF:8F:E0,

