
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BC:62:CE:87:DB:76, 2023-07-13 22:38:08, 2023-07-13 22:38:09,  1, 270, WPA2, CCMP TKIP, PSK, -67,       24,        0,   0.  0.  0.  0,  12, netis_87DB76, 
D4:6E:0E:EF:8F:E0, 2023-07-13 22:38:08, 2023-07-13 22:38:09,  2, 270, WPA2, CCMP, PSK, -73,        3,        0,   0.  0.  0.  0,  13, Kyivstar_8FE0, 
D4:35:38:A7:73:5A, 2023-07-13 22:38:08, 2023-07-13 22:38:09,  1, 130, WPA2, CCMP TKIP, PSK, -88,        2,        0,   0.  0.  0.  0,   6, YASBOY, 
D4:35:38:A0:B2:77, 2023-07-13 22:38:09, 2023-07-13 22:38:09,  1, 130, WPA2, CCMP TKIP, PSK, -47,        2,        0,   0.  0.  0.  0,   6, Xiaomi, 
50:0F:F5:91:53:A9, 2023-07-13 22:38:09, 2023-07-13 22:38:09, 13, 270, WPA2 WPA, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,  12, Tenda_9153A8, 
1C:61:B4:D1:47:36, 2023-07-13 22:38:11, 2023-07-13 22:38:11, 10, 270, WPA2, CCMP, PSK, -74,        2,        1,   0.  0.  0.  0,  12, TP-Link_4736, 
8C:DE:F9:D5:55:C7, 2023-07-13 22:38:12, 2023-07-13 22:38:12, 11, 130, WPA2, CCMP TKIP, PSK, -87,        1,        0,   0.  0.  0.  0,   6, Xiaomi, 
C0:25:E9:CE:BF:4E, 2023-07-13 22:38:12, 2023-07-13 22:38:12, 11, 270, WPA2, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,  12, TP-LINK_BF4E, 
DC:F0:90:A9:7B:3A, 2023-07-13 22:38:12, 2023-07-13 22:38:12,  6,  65, WPA2, CCMP, PSK, -69,        3,        0,   0.  0.  0.  0,   8, nubia M2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
46:F8:09:AE:0A:57, 2023-07-13 22:38:09, 2023-07-13 22:38:09, -84,        1, BC:62:CE:87:DB:76,
C2:2A:F3:D5:36:D0, 2023-07-13 22:38:09, 2023-07-13 22:38:09, -64,       11, 50:0F:F5:91:53:A9,
8E:53:D2:78:FF:1A, 2023-07-13 22:38:11, 2023-07-13 22:38:11, -80,        2, 1C:61:B4:D1:47:36,

